username,sentiment_score,dominant_sentiment
aidanomics,76.47,Positive 😄
alienordeferron,82.76,Positive 😄
ana_b_artistry,82.07,Positive 😄
carolinaogliaro,77.3,Positive 😄
chauntyspillane,90.82,Positive 😄
andrewcooperx,76.08,Positive 😄
breianna_,79.55,Positive 😄
brielle.cherie,76.33,Positive 😄
alexdelena,76.32,Positive 😄
ali.naqviii,76.89,Positive 😄
badcryption,77.6,Positive 😄
anaflorentyna,77.93,Positive 😄
allyrehmtullah,77.09,Positive 😄
alessarampolla,76.79,Positive 😄
abbyzabbs,78.28,Positive 😄
alyraisman,75.34,Positive 😄
annavyazova,77.38,Positive 😄
ashley_yn,89.29,Positive 😄
alejandroacostag,77.08,Positive 😄
21ninety,78.57,Positive 😄
carmen91c,74.96,Positive 😄
camilacvieira,76.95,Positive 😄
agusdandri,77.94,Positive 😄
caiocesarrx,80.3,Positive 😄
ashley_iaconetti,75.49,Positive 😄
anywayani,77.19,Positive 😄
albertminthant,100.0,Positive 😄
beetology,79.55,Positive 😄
camilapavone,80.81,Positive 😄
astheygrowup,90.0,Positive 😄
afromamanyc,94.12,Positive 😄
anadodia,82.37,Positive 😄
anna.bjordal,80.54,Positive 😄
bucketsgrind,80.92,Positive 😄
chicandsweaty,75.61,Positive 😄
basillynch,76.61,Positive 😄
ashley.arden,80.26,Positive 😄
angelapavese,76.36,Positive 😄
byrontalbott,79.28,Positive 😄
chlocov,80.58,Positive 😄
2ramoskimy,75.0,Positive 😄
amy_sauder,77.36,Positive 😄
cannamommyonthego,81.12,Positive 😄
bernwood.tv,80.65,Positive 😄
chelsealeblancrdn,77.48,Positive 😄
beni_lkwski,75.18,Positive 😄
aoifeporter,82.42,Positive 😄
alexandradaddario,75.25,Positive 😄
baglyosevii,90.0,Positive 😄
aashleyparish,76.3,Positive 😄
backpackermag,77.88,Positive 😄
abdadddy,80.43,Positive 😄
briankevli,77.4,Positive 😄
anajane.xo,77.09,Positive 😄
_chris_carter,83.33,Positive 😄
bakingwithblondie,74.97,Positive 😄
alexandriarice_,73.24,Positive 😄
beatricegherardini,76.84,Positive 😄
blushinglife,75.72,Positive 😄
big_beautiful_women_reposts,92.86,Positive 😄
apocketfulofpolkadots,78.39,Positive 😄
blackfitness,81.58,Positive 😄
annikaco,80.0,Positive 😄
alexhead_sp,86.03,Positive 😄
brittneehollenbach,80.95,Positive 😄
brielle_davis_gmm,80.52,Positive 😄
_brittneykay,75.02,Positive 😄
carlymanning10,76.85,Positive 😄
athomewithashley,75.3,Positive 😄
beauty_n_brawn,76.63,Positive 😄
2_step_videos,100.0,Positive 😄
andreawhyte,73.91,Positive 😄
blameitonmei,79.3,Positive 😄
carlosgomeu,76.33,Positive 😄
annamariafood,77.19,Positive 😄
chizubunny,84.9,Positive 😄
angelascozyhome,76.77,Positive 😄
andyuuki,0.0,Neutral 😐
apoelise,77.75,Positive 😄
amirbaloch.pk,93.75,Positive 😄
ambervscott,77.81,Positive 😄
babyboomster,95.45,Positive 😄
alianabeecher,77.62,Positive 😄
chanellespivak,77.0,Positive 😄
amandafranxes,82.86,Positive 😄
africanhairsummit,78.0,Positive 😄
brittanyshmyr,78.47,Positive 😄
beauty__review_lady,85.29,Positive 😄
christinalichi,75.28,Positive 😄
carolinevreeland,77.54,Positive 😄
alexia_lila,78.27,Positive 😄
alejandramejia_fit,81.94,Positive 😄
chrisgoertz,92.93,Positive 😄
